Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0) 	Windows_7.htmlWindows 7 	Internet_Explorer_9.htmlInternet Explorer 9 	65,535 ip
2 	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0) 	Windows_7_x64_Edition.htmlWindows 7 x64 Edition 	Internet_Explorer_9.htmlInternet Explorer 9 	65,535 ip
3 	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4 	Windows_7_x64_Edition.htmlWindows 7 x64 Edition 	Google_Chrome_22.htmlGoogle Chrome 22 	36,830 ip
4 	Mozilla/5.0 (Windows NT 5.1; rv:12.0) Gecko/20100101 Firefox/12.0 	Windows_XP.htmlWindows XP 	Firefox_12.htmlFirefox 12 	33,226 ip
5 	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4 	Windows_XP.htmlWindows XP 	Google_Chrome_22.htmlGoogle Chrome 22 	29,207 ip
6 	Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko/20100101 Firefox/11.0 	Windows_XP.htmlWindows XP 	Firefox_11.htmlFirefox 11 	27,348 ip
7 	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4 	Windows_7.htmlWindows 7 	Google_Chrome_22.htmlGoogle Chrome 22 	27,058 ip
8 	Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1 	Windows_XP.htmlWindows XP 	Firefox_15.htmlFirefox 15 	24,683 ip
9 	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0) 	Windows_Vista.htmlWindows Vista 	Internet_Explorer_9.htmlInternet Explorer 9 	24,179 ip
10 	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0 	Windows_7_x64_Edition.htmlWindows 7 x64 Edition 	Firefox_16.htmlFirefox 16 	23,174 ip
11 	Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0 	Windows_XP.htmlWindows XP 	Firefox_16.htmlFirefox 16 	22,490 ip
